216,PR32C,3,-,True_OF_PR32D,-,RDQ32,84,,,
231,PR23D,2,PCLKC2_0,Comp_OF_PR23C,-,RDQ20,88,"CLKOUT (on pin24, channel A, FT2232H mini breakout board 2 channels)",,
233,PR23B,2,PCLKC2_1,Comp_OF_PR23A,TRUE,RDQ20,89,,,
234,PR23C,2,PCLKT2_0,True_OF_PR23D,-,RDQ20,90,,,
236,PR23A,2,PCLKT2_1,True_OF_PR23B,TRUE,RDQ20,91,,,
237,PR20D,2,-,Comp_OF_PR20C,-,RDQ20,92,,,
239,PR20B,2,-,Comp_OF_PR20A,TRUE,RDQSN20,93,,,
240,PR20C,2,GR_PCLK2_0,True_OF_PR20D,-,RDQ20,94,,,
242,PR20A,2,GR_PCLK2_1,True_OF_PR20B,TRUE,RDQS20,95,FTDI_GPIO,,
251,PR14B,2,-,Comp_OF_PR14A,TRUE,RDQ20,97,RELAY_D7 (to an unknown pin in slave fpga),,
252,PR14C,2,VREF1_2,True_OF_PR14D,-,RDQ20,98,RELAY_D6 (to an unknown pin in slave fpga),,
254,PR14A,2,-,True_OF_PR14B,TRUE,RDQ20,99,RELAY_D5 (to an unknown pin in slave fpga),,
256,VCCIO2,-,-,-,-,-,100,+3.3V,,
261,PR8D,2,-,Comp_OF_PR8C,-,RDQ8,102,RELAY_D4 (to an unknown pin in slave fpga),,
263,PR8B,2,-,Comp_OF_PR8A,TRUE,RDQSN8,103,RELAY_D3 (to an unknown pin in slave fpga),,
264,PR8C,2,-,True_OF_PR8D,-,RDQ8,104,RELAY_D2 (to an unknown pin in slave fpga),,
266,PR8A,2,-,True_OF_PR8B,TRUE,RDQS8,105,RELAY_D1 (to an unknown pin in slave fpga),,
273,PR2D,2,-,Comp_OF_PR2C,-,RDQ8,106,RELAY_D0 (to an unknown pin in slave fpga),,
275,PR2C,2,-,True_OF_PR2D,-,RDQ8,107,LED3,,
277,PR2B,2,S0_IN,Comp_OF_PR2A,TRUE,RDQ8,108,LED2,,
286,PT67A,1,-,True_OF_PT67B,-,-,110,LED1,,
289,PT62B,1,-,Comp_OF_PT62A,-,-,111,HEART LED,,
291,PT60B,1,-,Comp_OF_PT60A,-,-,113,RXI,,
292,PT62A,1,-,True_OF_PT62B,-,-,112,TX0,,
294,PT60A,1,-,True_OF_PT60B,-,-,114,"D7 (on pin15 channel A of FT2232H mini breakout board, 2 channels)",,
295,PT58B,1,-,Comp_OF_PT58A,-,-,115,"D6 (on pin16 channel A of FT2232H mini breakout board, 2 channels)",,
297,PT56B,1,-,Comp_OF_PT56A,-,-,117,"D5 (on pin13 channel A of FT2232H mini breakout board, 2 channels)",,
298,PT58A,1,-,True_OF_PT58B,-,-,116,"D4 (on pin14 channel A of FT2232H mini breakout board, 2 channels)",,
300,PT56A,1,-,True_OF_PT56B,-,-,118,"D3 (on pin12 channel A of FT2232H mini breakout board, 2 channels)",,
301,PT53B,1,-,Comp_OF_PT53A,-,-,119,"D2 (on pin9 channel A of FT2232H mini breakout board, 2 channels)",,
304,PT53A,1,-,True_OF_PT53B,-,-,120,"D1 (on pin10 channel A of FT2232H mini breakout board, 2 channels)",,
306,PT51A,1,-,True_OF_PT51B,-,-,121,"D0 (on pin7 channel A of FT2232H mini breakout board, 2 channels)",,
308,VCCIO1,-,-,-,-,-,122,,,
315,PT42B,1,-,Comp_OF_PT42A,-,-,124,,,
318,PT42A,1,-,True_OF_PT42B,-,-,125,,,
319,PT40B,1,-,Comp_OF_PT40A,-,-,126,,,
322,PT40A,1,-,True_OF_PT40B,-,-,127,,,
336,PT29A,0,PCLKT0_0,True_OF_PT29B,-,-,128,"OE# (on pin23 channel A of FT2232H mini breakout board, 2 channels)",,
351,PT15B,0,-,Comp_OF_PT15A,-,-,133,"WR# (on pin19 channel A of FT2232H mini breakout board, 2 channels)",,
353,PT13B,0,-,Comp_OF_PT13A,-,-,135,"RD# (on pin20 channel A of FT2232H mini breakout board, 2 channels)",,
354,PT15A,0,-,True_OF_PT15B,-,-,134,"TXE# (on pin17 channel A of FT2232H mini breakout board, 2 channels)",,
356,PT13A,0,-,True_OF_PT13B,-,-,136,"RXF# (on pin18 channel A of FT2232H mini breakout board, 2 channels)",,
358,VCCIO0,-,-,-,-,-,137,,,
359,PT9B,0,-,Comp_OF_PT9A,-,-,139,,,
362,PT9A,0,-,True_OF_PT9B,-,-,140,,,
363,PT6B,0,-,Comp_OF_PT6A,-,-,141,,,
365,PT4B,0,-,Comp_OF_PT4A,-,-,142,,,
366,PT6A,0,-,True_OF_PT6B,-,-,143,,,
0,VCC,-,-,-,-,-,20,+1V1,,
0,VCC,-,-,-,-,-,29,+1V1,,
0,VCC,-,-,-,-,-,66,+1V1,,
0,VCC,-,-,-,-,-,83,+1V1,,
0,VCC,-,-,-,-,-,130,+1V1,,
0,VCC,-,-,-,-,-,38,+1V1,,
0,VCCAUX,-,-,-,-,-,17,+2V5,,
0,VCCAUX,-,-,-,-,-,53,+2V5,,
0,VCCAUX,-,-,-,-,-,96,+2V5,,
0,VCCAUX,-,-,-,-,-,132,+2V5,,
0,VCCIO3,3,-,-,-,-,70,+3.3V,,
0,VCCIO3,3,-,-,-,-,86,+3.3V,,
0,VCCIO6,6,-,-,-,-,16,+3.3V,,
0,VCCIO6,6,-,-,-,-,36,+3.3V,,
0,GND,-,-,-,-,-,8,GND,,
0,GND,-,-,-,-,-,15,GND,,
0,GND,-,-,-,-,-,21,GND,,
0,GND,-,-,-,-,-,42,GND,,
0,GND,-,-,-,-,-,65,GND,,
0,GND,-,-,-,-,-,75,GND,,
0,GND,-,-,-,-,-,85,GND,,
0,GND,-,-,-,-,-,87,GND,,
0,GND,-,-,-,-,-,101,GND,,
0,GND,-,-,-,-,-,123,GND,,
0,GND,-,-,-,-,-,129,GND,,
0,GND,-,-,-,-,-,131,GND,,
0,GND,-,-,-,-,-,138,GND,,
0,NC,-,-,-,-,-,109,,,
0,NC,-,-,-,-,-,144,,,
